⺀	⿱丶丶
㒁	⿰亻⿴囗⿱土⿱丷干
㒂	⿰亻⿱艹⿸耂日
㒃	⿰亻⿹⿹弋二貝
㒅	⿰亻⿴衣⿱夕夕
㒆	⿰亻⿱⿱亼口羽
㒇	⿰亻⿱灬
㒈	⿰亻⿹⿰工攵𤮺
㒉	⿰亻⿱尚木
㒊	⿰亻⿱⿰刃刃⿰止止
㒋	⿰亻⿰其斤
㒌	⿰亻⿱⿱⿰火火冖几
㒍	⿰亻⿱⿱厶⿰厶厶糸
㒎	⿰亻⿱夭非
㒏	⿰亻⿱⿳宀⿻龷一八冫
㒐	⿰亻⿱𥫗⿹勹日
㒑	⿰亻⿷匚⿰氵隹
㒒	⿰亻⿱业羌
㒓	⿰亻⿺辶⿱土羊
㒔	⿰亻⿱罒⿹勹虫
㒕	⿰亻⿱亠⿰乡隹
㒖	⿰亻萬
㒗	⿰亻⿳⿵艹二冖至
㒘	⿰亻⿱⿰臣又立
㒙	⿰亻⿰糹⿱白巾
㒚	⿰亻⿱⿳爫工彐心
㒛	⿰亻⿱羽隹
㒜	⿰亻與
㒝	⿰亻⿱⿱艹罒戍
㒞	⿰亻⿱山⿱隹
㒟	⿰亻⿴衣馬
㒠	⿰亻⿱⿰歺又韭
㒡	⿰亻⿰⿱爫缶系
㒢	⿰亻龠
㒣	⿰亻⿸⿸广⿰亻隹心
㒤	⿰亻⿱耳⿰耳耳
㒥	⿰亻⿱⿻山⿰丰丰豆
㒦	⿰亻⿱⿱田⿰田田土
㒧	⿰亻⿰⿱㐫禸隹
㒨	⿰亻⿱⿱⿴𦥑囟大㔾
㒩	⿰亻⿱彖⿰虫虫
㒪	⿳𠆢⿰臣臣⿰止豕
㒫	旡
㒬	⿺元王
㒭	⿰⿱口儿⿱口儿
㒮	⿺元豕
㒰	⿱入工
㒱	⿱入夕
㒲	⿱入日
㒴	⿱入出
㒵	⿱白八
㒶	公
㒷	⿳⿱冖人一八
㒸	⿱八豕
㒹	⿰⿱⿱十八⿱⿱十八
㒺	⿵⿵冂䒑亾
㒻	⿱日見
㒽	⿱日⿱龹㔾
㒾	⿱日⿸㫃也
㒿	⿱日⿰⿱㐫禸隹
㓀	⿱冖卜
㓂	⿱冖⿺元女
㓃	⿱冖⿰訁乇
㓄	⿰⿱⿱⿱厶⿰厶厶人彡冘
㓅	⿰冫丁
㓆	⿰冫⿱𠆢匕
㓇	⿰冫夭
㓈	⿰冫石
㓉	⿰冫舌
㓊	⿰冫⿵⿵冂一口
㓋	⿰冫⿱龷八
㓌	⿰冫⿱𠆢王
㓍	⿰冫⿱𠫓儿
㓎	⿰冫⿳彐冖又
㓏	⿰冫冏
㓐	⿰冫坴
㓑	⿰冫⿱土⿱丷干
㓒	⿱⿰冫七⿱人心
㓓	⿰冫南
㓔	⿰冫⿰身寸
㓕	⿰冫⿵戌火
㓖	⿰冫畢
㓗	⿰冫⿱⿰龶刀糸
㓘	⿵⿵几歹玉
㓙	⿶凵文
㓚	⿰工刂
㓛	⿰工刀
㓜	⿰幺刀
㓝	⿰井刂
㓞	⿰龶刀
㓟	⿰皮刂
㓡	⿰缶刂
㓢	⿰⿱夂口刂
㓣	⿰⿱亼口刂
㓤	⿰⿱士口刂
㓦	⿰百刂
㓧	⿰⿱⿱⿱𠆢丶乛口刂
㓨	⿰夾刂
㓩	⿰角刂
㓪	⿰刀
㓫	⿰⿱大开刂
㓬	⿰⿱龹刀刂
㓭	⿰曷刂
㓮	⿰⿵用口刂
㓯	⿰甾刂
㓰	⿰⿱一⿶凵田刂
㓱	⿰⿱亼⿰月刂刂
㓲	⿰⿸户𠕁刂
㓳	⿺⿱日𤴓刂
㓴	⿰⿱而大刂
㓵	⿰⿱吅亏刂
㓶	⿰⿱⿰龶刀大刂
㓷	⿰⿱自木刂
㓸	⿰𠁁刂
㓹	⿸厂⿰⿱火火刂
㓺	⿰⿸虍文刂
㓻	⿰⿱罒正刂
㓼	⿰桼刂
㓽	⿰⿱山⿱宀示刂
㓾	⿰⿸⿸尸水牛刂
㓿	⿰黍刂
㔀	⿰⿱日⿳亠口小刂
㔁	⿰⿱癶豆刂
㔂	⿰粦刂
㔃	⿱⿰糹色刀
㔄	⿰⿱覀米刂
㔅	⿰肅刂
㔆	⿰⿱⿰旡旡日刂
㔇	⿰⿱癶⿰弓殳刂
㔈	⿰⿱艹非刂
㔉	⿰⿸尸禹刂
㔊	⿰⿱⿱亠⿴囗口⿱日一刂
㔋	⿰⿱皿刂
㔌	⿰⿱⿰耳又乑刂
㔍	⿰⿱𥫗⿱目廾刂
㔎	⿱⿰⿱山𠂤辛刀
㔏	⿰⿱石⿰石石刂
㔐	⿰⿳竹一韭刂
㔑	⿱⿱艹⿰𠂤辛刀
㔒	⿰⿱⿱山隹冏刂
㔓	⿰千力
㔔	⿱⿰力口〇
㔕	⿰气力
㔖	⿱⿰力口𠃍
㔗	⿰弗力
㔘	⿰出力
㔙	⿰并力
㔚	⿰舌力
㔛	⿱士⿱口力
㔜	⿰⿱爫子力
㔝	⿰⿻丅⿵冂⿰入入力
㔞	⿰乖力
㔟	⿱⿰生丸力
㔠	⿰曷力
㔡	⿰⿱囟比力
㔢	⿱⿰糹色力
㔣	⿰⿱田⿰田田力
㔤	⿰⿱宀⿱釆田力
㔥	⿰⿱罒⿰肙⿱匕匕力
㔦	⿰⿱𦍌食力
㔧	⿰⿸⿸虍田皿力
㔨	⿹勹⿱北月
㔩	⿹勹盍
㔪	⿹勹鹵
㔫	⿸𠂇匕
㔬	⿱匕⿱日十
㔭	⿰匕⿱日𤴓
㔮	⿰𦰩⿰肙⿱匕匕
㔯	⿷匚⿱几口
㔰	⿷匚⿰夕卜
㔱	⿷匚臾
㔲	⿷匚⿰飠九
㔳	⿷匚⿰飠几
㔴	⿷匚⿱田⿱龷八
㔵	⿷匚⿱⿰巳巳⿱龷八
㔶	⿷匚⿰⿱立⿱日十⿱夂⿱工貝
㔷	⿷匸丙
㔸	⿷匸⿸𠂆虎
㔹	⿰十力
㔺	世
㔻	⿱不十
㔼	⿱⿰扌隹十
㕀	⿱由㔾
㕁	⿰⿱乂厷卩
㕂	⿸厂⿱⿱𠆢丶乛
㕃	⿸厂开
㕄	⿸厂互
㕅	⿸厂甲
㕆	⿸厂⿱十口
㕇	⿸厂立
㕈	⿸厂衣
㕉	⿸厂⿱亼口
㕊	⿸厂甫
㕋	⿸厂金
㕌	⿸厂⿱⿱日一寸
㕍	⿸厂隹
㕎	⿸厂盍
㕏	⿸厂⿰豆斗
㕐	⿸厂⿱臼
㕑	⿸厂⿰壴寸
㕒	⿸厂⿱𦍌我
㕓	⿸厂⿱黑土
㕔	⿸厂⿹⿰耳⿳十罒心壬
㕕	⿱厶厶
㕖	⿱⿱厶⿰厶厶木
㕗	⿺⿱𦍌久厶
㕘	⿱⿱⿱厶⿰厶厶人小
㕙	⿰夋⿷⿱儿丶
㕛	⿱又又
㕜	史
㕝	⿱⿱十口又
㕞	⿰⿸尸巾又
㕠	⿱⿰冫隹又
㕣	⿱几口
㕤	⿰口九
㕥	⿰口人
㕦	⿱口大
㕧	⿰口尸
㕨	⿰口凡
㕩	⿰口丰
㕪	⿰口冘
㕫	⿰口方
㕬	⿰口公
㕭	⿰口夭
㕮	⿰口父
㕰	⿰口毛
㕱	⿰口尤
㕲	⿰口木
㕳	⿰口⿶凵㐅
㕴	⿰口⿱冖几
㕵	⿰口王
㕶	⿰口五
㕷	⿰口白
㕸	⿰口立
㕹	⿰口犮
㕺	⿱吅丂
㕻	⿱丶⿱不口
㕼	⿰口⿹勹⿶凵㐅
㕽	⿰口以
㕾	⿱小⿰口𠤎
㕿	⿱禾口
㖀	⿰口聿
㖁	⿰口⿱乂厷
㖂	⿰口曳
㖃	⿰口⿸⿸𠂆一口
㖄	⿰口州
㖅	⿰口戌
㖆	⿰口曲
㖇	⿰口而
㖈	⿱老口
㖉	⿰口⿱𠆢止
㖊	⿰口⿱彐寸
㖋	⿱⿱𠆢⿰丿丨⿰口𠤎
㖌	⿱⿰亻九⿰口𠤎
㖍	⿱斗⿰口𠤎
㖎	⿱⿰口𠤎⿱𠆢⿰丿丨
㖏	⿰口⿱日土
㖐	⿱吅尹
㖑	⿰口⿹戈廾
㖒	⿰口弟
㖓	⿰口夆
㖔	⿰口⿱天口
㖕	⿰口辛
㖖	⿱辛口
㖗	⿰口⿱山⿱⿱𠆢丶乛
㖘	⿰口辰
㖙	⿱⿰力口⿰口𠤎
㖚	⿱⿰亻寸⿰口𠤎
㖛	⿱⿱十口⿰口𠤎
㖜	⿳亠口⿰口𠤎
㖝	⿱未⿰口𠤎
㖞	⿰口⿱口内
㖟	⿰口⿳爫冖又
㖠	⿰口⿱大示
㖡	⿰口⿱亠⿰亻⿴夂丶
㖢	⿰口⿸广⿰止匕
㖣	⿰口咅
㖤	⿰口函
㖥	⿰口⿴囗禾
㖦	⿰口東
㖧	⿰口⿱氏日
㖨	⿰口⿱彐氺
㖩	⿰口⿰耳又
㖪	⿰口⿹⿹戈口一
㖫	⿰口夌
㖬	⿰口⿱臼又
㖭	⿰口⿱夭心
㖮	⿰口侖
㖯	⿱⿵⿵冂一口⿰口𠤎
㖰	⿱⿰口𠤎⿵⿵冂一口
㖱	⿱⿱亠⿰亻⿴夂丶口
㖲	⿱⿰女口⿰口𠤎
㖳	⿱⿰氵女⿰口𠤎
㖴	⿰口⿱艹勿
㖵	⿰口⿳目一八
㖶	⿰口⿱覀土
㖷	⿰口⿱日𤴓
㖸	⿰口⿸虍⿷匚一
㖹	⿰口⿱⿱八刀皿
㖺	⿰口⿱𡗗日
㖻	⿰口⿱矛木
㖼	⿰口⿱甘木
㖽	⿰口頁
㖾	⿱吅屰
㖿	⿰口⿰耳阝
㗀	⿰口⿻山⿰幺幺
㗁	⿰口⿱吅亏
㗂	⿰口⿱少目
㗃	⿰口⿱民日
㗄	⿰口⿱罒方
㗅	⿰口⿰⿱十口月
㗆	⿰口革
㗇	⿰口叚
㗈	⿰口⿱⿱龴用力
㗉	⿱⿰龶刀⿱夂口
㗊	⿰⿱口口⿱口口
㗋	⿰口⿸厃矢
㗌	⿰口⿱宀至
㗍	⿰口香
㗎	⿰口⿱⿰力口木
㗏	⿰口⿱⿱不一止
㗐	⿰口⿱太皿
㗑	⿰口⿰龵⿱一丰
㗒	⿰口⿴衣口
㗓	⿰口⿺辶𠂤
㗔	⿰口⿸虍文
㗕	⿰口⿱⿻龷一冉
㗖	⿰口⿱爫臼
㗗	⿰⿱口勹卑
㗘	⿰口尃
㗚	⿰口⿱覀木
㗛	⿰口⿱𥫗夭
㗜	⿰口⿱玄田
㗝	⿰口⿱𦍌灬
㗞	⿰口⿰石皮
㗟	⿱⿰氵主⿰口𠤎
㗠	⿱⿰女⿱厶口⿰口𠤎
㗡	⿱⿱艹⿰亻乃⿰口𠤎
㗢	⿰口⿰重力
㗣	⿰口⿳⿻廿儿冖巾
㗤	⿱⿵戊⿱上小口
㗥	⿰口⿰⿱亠⿱口子阝
㗦	⿰口⿰耳卯
㗧	⿰口⿱穴至
㗨	⿱⿰⿷匸矢殳口
㗩	⿰口⿱羽白
㗪	⿰口⿱⿰止匕糸
㗫	⿰口⿱示
㗬	⿱尚⿱夕夕
㗭	⿰口⿱釆心
㗮	⿰⿱夕口庚
㗯	⿱⿸耂日⿰口𠤎
㗰	⿰口⿰彳⿱从龰
㗱	⿰口⿱隹木
㗲	⿰口⿳聿田一
㗳	⿰口⿱𥫗⿱亼口
㗴	⿰口⿵門月
㗵	⿰口⿰⿱火火欠
㗶	⿰口⿱癶⿰弓殳
㗷	⿰口⿳宀⿻龷一贝
㗸	⿰口⿴行缶
㗹	⿰口⿱隹心
㗺	⿰口⿱夭非
㗻	⿰口⿺辶咼
㗼	⿰口⿱业羌
㗽	⿱⿰乡⿰阝口
㗾	⿰口⿰革⿰亻𠤎
㗿	⿰口⿵門⿹丅口
㘀	⿰口⿱臼米
㘁	⿰口⿱罒⿱土⿱丷干
㘂	⿰口⿱⿱丷⿱一⿰幺幺心
㘃	⿰口⿱⿱艹⿸𠂇口心
㘄	⿰口⿰木⿱罒方
㘅	⿰口⿴行金
㘆	⿰口⿳⿱士口冖至
㘇	⿰口⿱⿱⿰火火冖木
㘈	⿰口⿰⿱匕矢⿱龴疋
㘉	⿰口⿱𥫗⿰卩
㘊	⿰口⿱雨言
㘋	⿰口⿱⿰臣又貝
㘌	⿰口⿰⿸虍豕刂
㘍	⿰口⿰⿱小隹戈
㘎	⿰口⿵门⿹⿰工攵𤮺
㘏	⿱⿺辶首⿰口𠤎
㘐	⿰口⿰馬⿱亠父
㘑	⿰口⿰⿱士示隶
㘒	⿰⿰禾重⿰口𠤎
㘓	⿰口⿵門柬
㘔	⿰口⿱⿳宀⿻龷一八貝
㘕	⿰口⿱艹⿱皿
㘖	⿰口⿰⿸产彡頁
㘗	⿰口⿱⿰目目隹
㘘	⿱⿰糸⿰訁糸口
㘙	⿰口⿱吅⿸厂⿹⿰工攵𤮺
㘚	⿰口⿵門⿹⿰工攵𤮺
㘛	⿰口⿱⿱亼口龍
㘜	⿱⿴⿰隹隹言口
㘝	⿴囗又
㘞	⿴囗力
㘟	𡆪
㘠	⿴囗必
㘡	⿴囗甲
㘣	⿴囗肙
㘤	⿴囗⿰氵𣶒
㘥	⿴囗⿰⿱爫缶系
㘦	⿰土力
㘧	⿰土予
㘨	⿰土内
㘩	⿰土比
㘪	⿰土毛
㘫	⿰土井
㘬	⿰土⿹勹厶
㘭	⿰土⿰幺𠃌
㘮	⿰土尺
㘯	⿰土⿱𠂉力
㘰	⿰土斗
㘱	⿰土冉
㘲	⿰土⿸尸九
㘳	丘
㘴	⿻⿰口人土
㘵	⿰土⿸𠂇巾
㘶	⿱舛土
㘷	⿰土⿱艹乂
㘸	⿱⿸歹匕土
㘹	⿱⿰止匕土
㘺	⿰土⿰亻戈
㘻	⿰土⿴囗大
㘼	⿰土⿸耂丂
㘽	⿹𢦏土
㘾	⿰土⿱宀于
㘿	⿰土⿱日土
㙀	⿰土⿱穴九
㙁	⿰土⿱𠂉母
㙂	⿰土⿱丷⿱口儿
㙃	⿰土⿱丘八
㙄	⿰土⿱比土
㙅	⿰土⿱口木
㙆	⿰土⿱宀厷
㙇	⿰土豖
㙈	⿰土虎
㙉	⿰土典
㙊	⿰土長
㙋	⿰土其
㙌	⿰土肃
㙍	⿰土叕
㙎	⿰土⿵戌女
㙏	⿰土⿱⿱𠂉日夂
㙐	⿰土⿱山而
㙑	⿱禹土
㙒	⿱⿰田予土
㙓	⿱⿱土⿰土土土
㙔	⿰土韋
㙕	⿰土⿱田月
㙖	禹
㙗	⿰土⿳田一
㙘	⿰土⿱覀女
㙙	⿱⿰氵⿺⿺尢彡丶土
㙚	⿰土⿱𦍌牛
㙛	⿰土尃
㙜	⿱高土
㙝	⿰土⿱⿱力⿰力力月
㙞	⿰土⿱自木
㙟	⿰土⿰月
㙠	⿱⿰⿷匸矢殳土
㙡	⿰土⿰彳⿱从龰
㙢	⿰土㒼
㙣	⿰土⿰弓長
㙤	⿰土⿸虍乎
㙥	⿰土⿰衤⿱几口
㙦	⿱⿰⿱亼朩斗土
㙧	⿰土⿱丣田
㙨	⿰土⿹人
㙩	⿰土尞
㙪	⿰土⿱⿳士冖⿱一口䒑
㙫	⿰土⿱隹木
㙬	⿱⿰來犬土
㙭	⿰土⿸厂⿰屰欠
㙮	⿰土⿱𥫗⿱亼口
㙯	⿱⿰坴丸云
㙰	⿱⿰角⿱刀牛土
㙱	⿱⿰⿱口丂虎土
㙲	⿰土⿱亠⿰乡隹
㙳	⿰土⿱⿵戌口心
㙴	⿰土⿸厃⿱儿言
㙵	⿰土⿱高土
㙶	⿳亠口⿱尚土
㙷	⿰土⿱日⿱⿰幺幺灬
㙸	⿰土⿰彳菐
㙹	⿰土⿳⿱艹罒冖夕
㙺	⿰土⿷匚⿱⿱中一貝
㙻	⿰土⿸广⿳里儿土
㙼	⿰土⿱田⿰田田
㙽	⿰土奭
㙾	⿰土⿱⿱⿻𦥑爻冖子
㙿	⿰土⿱𦍌⿰⿱禾丂戈
㚀	⿰土⿰⿸虍豆戈
㚁	⿰⿱⿱土⿰土土兀⿱⿱土⿰土土兀
㚂	⿰土⿳⿻一中冖⿱⿱吅⿻龷一𧘇
㚃	⿳士冖⿱⿶凵㐅䒑
㚄	⿳士冖⿱田疋
㚅	⿱夂⿱一生
㚆	⿱⿱亠日夂
㚇	⿱⿱⿶凵㐅儿夂
㚈	⿰夕十
㚉	⿱乃⿱夕夕
㚊	⿰⿱夕夕亥
㚋	⿰⿱夕夕⿵用口
㚌	⿰⿱夕夕果
㚍	⿰⿱夕夕⿱⿱中一貝
㚎	⿱大凵
㚏	⿱大廾
㚐	⿱大大
㚑	⿱彐大
㚒	⿻大⿰入入
㚓	⿱大木
㚔	⿱大⿱丷干
㚕	⿱大弗
㚖	⿱白大
㚗	⿱大且
㚘	⿰夫夫
㚙	⿱⿰力口大
㚚	⿱大⿱夕口
㚛	⿱大⿱匕日
㚜	⿱大⿹⿹戈口一
㚝	⿱大⿰亻⿱土土
㚞	⿱大⿰木木
㚟	⿱㲋大
㚠	⿱大⿱𦍌灬
㚡	⿰⿱大⿹丅口⿱大⿹丅口
㚢	⿰亻女
㚣	⿱女女
㚤	⿰女弋
㚥	⿰女于
㚦	⿰女丌
㚧	⿰女广
㚨	⿰女卂
㚩	⿰女冄
㚪	⿰女毛
㚫	⿰女及
㚬	⿰女⿹勹二
㚭	⿰女尤
㚮	⿰女⿱冖几
㚯	⿰女风
㚰	⿰女⿱不一
㚱	⿰女丘
㚳	⿰女⿰力口
㚴	⿰女⿸𠂇巾
㚵	⿰女⿱夂冫
㚶	⿰女㠯
㚷	⿰女⿱𠆢小
㚸	⿰女⿹𠃌⿱一口
㚹	⿰女卯
㚺	⿰女⿱乃子
㚻	⿱田女
㚼	⿰女田
㚽	⿱⿰工丂女
㚾	⿰女⿱口儿
㚿	⿰女⿱勹巳
㛀	⿰女⿱𠂊彐
㛁	⿰女平
㛂	⿰女厄
㛃	⿱⿰龶刀女
㛄	⿰女衣
㛅	⿰女耳
㛆	⿰女⿱乃木
㛇	⿰女⿸广土
㛈	⿰女⿸耂丂
㛉	⿰女西
㛊	⿰女⿱𠘧木
㛋	⿰女⿱人心
㛌	⿰女⿱厶牛
㛍	⿰女夾
㛎	⿰女⿳口丿口
㛏	⿰女求
㛐	⿰女更
㛑	⿱⿰歺又女
㛒	⿰女豆
㛓	⿰女⿱乂⿸𠂇巾
㛔	⿰女夆
㛕	⿰女邑
㛖	⿰女夋
㛗	⿰女⿱⿻十从一
㛘	⿰女⿱龸子
㛙	⿰女辛
㛚	⿰女⿱龴用
㛛	⿰女身
㛜	⿱⿲亻丨攵女
㛝	⿰女貝
㛞	⿰女⿱王廾
㛟	⿰女⿳𠂊冂大
㛠	⿰女⿵门日
㛡	⿰女⿱宀元
㛢	⿰女⿱禾乃
㛣	⿰女⿱口贝
㛤	⿰女⿱一⿰⿵冂丶⿵冂丶
㛥	⿰女⿱水日
㛦	⿰女⿰木木
㛧	⿰女⿱山石
㛨	⿰女羌
㛩	⿰女⿱亠肙
㛪	⿰女⿱大电
㛫	⿰女⿱日勿
㛬	⿰女坴
㛭	⿰女⿱龷日
㛮	⿰女⿱⿱宀火又
㛯	⿰女⿺⿱儿力
㛰	⿰女⿱民日
㛱	⿰女⿳田一
㛲	⿰女頁
㛳	⿱⿱丶⿳一丷⿱冖巾女
㛴	⿰女⿱巛囟
㛵	⿰女⿱爫冉
㛶	⿰女⿱山⿸𠂇火
㛷	⿱⿰禾尤女
㛸	⿰女壴
㛹	⿰女⿰亻更
㛺	⿰女音
㛻	⿰女⿱大⿱土土
㛼	⿰女臿
㛽	⿰女⿱宀米
㛾	⿰女⿵戌口
㛿	⿰女⿳卅冖巾
㜀	⿰女⿰木目
㜁	⿰女⿱木⿱日一
㜂	⿱⿰⿱土土寸女
㜃	⿰女⿰亻言
㜄	⿰女風
㜅	⿰女⿱玄田
㜆	⿰女⿺辶米
㜇	⿰女⿱⿱土土心
㜈	⿱⿰矛⿱攵力女
㜉	⿰女⿱巛邑
㜊	⿰女⿸尸⿱龷
㜋	⿰女⿳丷兀皿
㜌	⿹⿰⿳士冖一殳女
㜍	⿰女⿸广⿱肀口
㜎	⿰女⿱爫⿱幺大
㜏	⿰女⿱口貝
㜐	⿰女⿱止豆
㜑	⿱⿰氵甫女
㜒	⿰女⿱𦥑廾
㜓	⿰女⿱艹⿱亼口
㜔	⿰女⿱立⿱口儿
㜕	⿰女⿺辶車
㜖	⿰女⿱⿻一曲日
㜗	⿰女⿱⿱⿱厶⿰厶厶人彡
㜘	⿰女⿸虍且
㜙	⿰女鹿
㜚	⿰女⿱宀⿰亻百
㜛	⿰女⿰車欠
㜜	⿰女⿰⿱龶勹攵
㜝	⿰女⿱⿱⿱𠆢丶乛酉
㜞	⿱⿰車斤女
㜟	⿰女⿹⿰工攵𤮺
㜠	⿰女⿱山隹
㜡	⿰女⿰彳⿱从龰
㜢	⿰女婁
㜤	⿰女覃
㜥	⿰女⿱罒貝
㜦	⿰女⿳彐⿰工口寸
㜧	⿰女⿸厂⿰屰欠
㜨	⿰女⿸⿸尸水牛
㜩	⿰女⿱⿵⿱丿冂釆大
㜪	⿱⿰⿱立朩斤女
㜫	⿰女⿰彳⿰⿱山几攵
㜬	⿰女⿸厃⿱儿言
㜭	⿰女⿱尚田
㜮	⿰女⿱皿
㜯	⿰女⿱⿰𦣞巳灬
㜰	⿰女⿱⿲幺白幺木
㜱	⿰女⿱⿰斤斤貝
㜲	⿰女⿵⿱⿱亡口⿰月凡女
㜳	⿰女⿱⿱亠⿱罒𧘇
㜴	⿰女⿳⿱艹罒冖目
㜵	⿰女⿴衣馬
㜶	⿰女毚
㜷	⿱⿰弓爾女
㜸	⿱⿱艹⿰𠂤辛女
㜹	⿰女⿱⿰目目隹
㜺	⿰女⿱⿰先先貝
㜻	⿰女⿱⿰糸⿰訁糸心
㜼	⿰女⿱⿱田⿰田田⿱冖且
㜽	子
㜾	⿰子⿱𠆢⿰丿丨
㜿	⿰子予
㝀	⿰母子
㝁	⿱⿹勹日子
㝂	⿰子⿰扌斤
㝃	⿰子⿱儿
㝄	⿰⿱亠⿱口子屯
㝅	⿰⿳士冖⿱一子殳
㝆	⿰子⿱壴口
㝇	⿰⿱亠⿱口子⿱亠⿱口子
㝈	⿱⿰糸⿰訁糸⿰子子
㝉	⿱宀一
㝊	⿱宀又
㝋	⿱宀了
㝌	⿱宀久
㝍	⿱宀与
㝎	⿱宀之
㝏	⿱宀⿱𠆢⿰丿丨
㝐	⿱穴厶
㝑	⿱宀方
㝒	⿱宀⿱十口
㝓	⿱宀⿱亼口
㝔	⿱宀⿱亠父
㝕	⿱⿱宀心又
㝖	⿱宀⿱夕夕
㝗	⿱宀良
㝘	⿱宀言
㝙	寅
㝚	⿱宀⿺廴⿱丿止
㝛	⿱宀⿰亻㐁
㝜	⿱宀⿱龷日
㝝	⿱宀⿰木木
㝞	⿱宀亞
㝟	⿱⿱宀一見
㝠	⿱宀⿱日六
㝡	⿱宀⿰耳又
㝢	⿱宀禹
㝣	⿱宀⿱⿰龶刀大
㝤	⿱宀⿱⿻龷一冉
㝥	⿸⿱宀爿米
㝦	⿱宀⿱隹乃
㝧	⿱⿱宀女⿱⿻十从一
㝨	⿱宀⿱⿱土口𧘇
㝩	⿱宀⿸广隶
㝪	⿱宀⿰⿱土⿱丷干丸
㝫	⿱宀⿰阝⿱夂⿱一生
㝬	⿰⿱⿱宀丰口夫
㝭	⿱宀⿰忄⿱日生
㝮	⿱宀⿰⿱出示又
㝯	⿱宀⿱⿱夭口冋
㝰	⿱宀⿳自穴方
㝱	⿸⿱宀爿⿳⿱艹罒冖夕
㝲	⿸⿱宀爿⿳⿱艹罒冖⿳彐冖巾
㝳	⿸朩丶
㝴	⿺元寸
㝵	⿱⿱日一寸
㝶	⿳罒儿寸
㝷	⿳彐⿰工凡寸
㝸	⿱小⿱白儿
㝹	⿱少⿷⿱儿丶
